word,grade,set (week),definition,sentence
collision,5,24,a crash in which moving things strike each other,The helmets helped protect the cyclists during the collision.
soprano,5,24,the highest common singing voice,She sang the soprano part.
tenor,5,24,a high adult male singing voice,He sang the tenor part.
alto,5,24,a lower female or child singing voice,She sang the alto part.
baritone,5,24,"a male singing voice between tenor and bass, or an instrument in that range",The baritone sang the lower melody.
bass,5,24,the lowest common singing range,He sang the bass part.
company,5,25,"a business organization, or people gathered together",The company designs computer software.
radio,5,25,a device or system that sends and receives sound using electromagnetic waves,We listened to the weather report on the radio.
Missouri,5,25,a state in the United States,Missouri is one of the 50 U.S. states.
genuine,5,25,"real, authentic, and not fake",Experts confirmed the coin was genuine.
capital,5,25,a city where a government is based,The capital is where the state government meets.
otherwise,5,25,"if not, or in a different way","Wear a coat; otherwise, you may get cold."
tangerine,5,25,a small orange citrus fruit that is easy to peel,I ate a tangerine at lunch.
appreciate,5,25,to recognize the value of something or feel thankful for it,I appreciate your help.
prompt,5,25,"to cause or encourage an action, or a cue or instruction",The question will prompt students to explain their reasoning.
southern,5,25,located in or relating to the south,The southern part of the state is warmer.
disadvantage,5,25,a condition that makes success harder or puts someone at a poorer position,High cost is one disadvantage of the plan.
dissatisfied,5,25,not pleased or satisfied,Customers were dissatisfied with the delayed service.
dislike,5,25,to not like someone or something,I dislike waking up very early.
disappoint,5,25,to fail to meet someone’s hopes or expectations,The canceled game may disappoint the players.
disapprove,5,25,to believe something is wrong or not acceptable,The coach will disapprove of poor sportsmanship.
dissolve,5,25,"to mix into a liquid until no separate pieces are visible, or to end formally",Sugar will dissolve in warm water.
disengage,5,25,"to separate, disconnect, or stop taking part",Disengage the brake before moving the bicycle.
disposal,5,25,the act or method of getting rid of something,Proper battery disposal helps protect the environment.
Greek,5,25,the language of Greece,The word comes from Greek.
axiom,5,25,a statement accepted as true and used as a starting point for reasoning,"In mathematics, an axiom can be used to build a proof."
Germany,5,26,a country in central Europe,Germany is a country in Europe.
lavender,5,26,a fragrant purple-flowered plant or a pale purple color,Lavender grew beside the garden path.
printed,5,26,produced words or images on paper or another surface,The directions were printed on the back.
wouldn’t,5,26,would not,The puppy wouldn't leave the toy.
ahead,5,26,in front or farther forward,The trail continues ahead.
terrified,5,26,extremely frightened,The loud crash terrified the small dog.
velvet,5,26,"a soft fabric with a thick, smooth surface",The costume was made of red velvet.
level,5,26,"flat and even, or a stage or amount",Use the tool to make sure the shelf is level.
noisily,5,26,with a lot of noise,The geese landed noisily on the pond.
incredible,5,26,extremely impressive or hard to believe,The telescope showed an incredible view of Saturn.
inaccurate,5,26,not correct or exact,The old map was inaccurate.
inefficient,5,26,"using more time, energy, or resources than necessary",The old heater was inefficient.
ineffective,5,26,not producing the intended result,The first solution was ineffective.
insecure,5,26,"not confident, safe, or firmly fixed",The loose ladder felt insecure.
inadequate,5,26,not enough or not good enough for a need,One small bottle was inadequate for the long hike.
indefinite,5,26,"not exact, fixed, or clearly limited",The event was delayed for an indefinite amount of time.
ineligible,5,26,not qualified or allowed to take part,Late entries are ineligible for the contest.
inequality,5,26,"a lack of equality, or a math statement comparing unequal values",The symbol > can be used in an inequality.
taxes,5,26,money collected by governments to pay for public services,"Taxes help pay for roads, schools, and other services."
income,5,26,"money received from work, investments, or other sources",The family made a budget based on its monthly income.
Colorado,5,27,a state in the United States,Colorado is one of the 50 U.S. states.
repeated,5,27,"said, did, or happened again",The experiment was repeated three times.
column,5,27,a vertical group of items or a tall supporting structure,Write the totals at the bottom of each column.
